"priority_section","schema_name","table_name","column_name","data_type_category","formatted_data_type","overall_column_score","overall_quality_level","pii_risk_assessment","governance_priority","potential_pii_indicator","business_criticality","immediate_actions","recommended_improvements","steward_assignment"
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorSeverity,INTEGER,int,44.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorLine,INTEGER,int,44.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,MakeFlag,OTHER,Flag,44.25,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,FinishedGoodsFlag,OTHER,Flag,44.25,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,OrganizationNode,HIERARCHICAL,hierarchyid,44.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,AdditionalContactInfo,STRUCTURED,xml,44.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,Demographics,STRUCTURED,xml,44.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,SalariedFlag,OTHER,Flag,45.75,POOR,LOW_RISK,MEDIUM,STATUS_CONTROL,HIGH,,Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,CurrentFlag,OTHER,Flag,45.75,POOR,LOW_RISK,MEDIUM,STATUS_CONTROL,HIGH,,Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,AccountNumber,OTHER,AccountNumber,46.50,POOR,MINIMAL_RISK,LOW,FINANCIAL_DATA,MEDIUM,,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorProcedure,TEXT,nvarchar(252),47.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,PreferredVendorStatus,OTHER,Flag,47.25,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,AWBuildVersion,Database Version,TEXT,nvarchar(50),48.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,TSQL,TEXT,nvarchar(MAX),48.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorNumber,INTEGER,int,49.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,CreditRating,INTEGER,tinyint,49.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,PurchaseOrderNumber,OTHER,OrderNumber,49.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,BillOfMaterials,BOMLevel,INTEGER,smallint,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,SafetyStockLevel,INTEGER,smallint,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,DaysToManufacture,INTEGER,int,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductInventory,Bin,INTEGER,tinyint,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductReview,Rating,INTEGER,int,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistory,Quantity,INTEGER,int,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistoryArchive,Quantity,INTEGER,int,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrder,StockedQty,INTEGER,int,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrder,ScrappedQty,INTEGER,smallint,51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,PurchasingWebServiceURL,TEXT,nvarchar(2048),51.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ProductVendor,LastReceiptCost,NUMERIC,money,51.25,POOR,MINIMAL_RISK,LOW,PERSONAL_NAME,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CreditCard,ExpMonth,INTEGER,tinyint,51.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CreditCard,ExpYear,INTEGER,smallint,51.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,EmployeePayHistory,PayFrequency,INTEGER,tinyint,52.50,POOR,MINIMAL_RISK,MEDIUM,FINANCIAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,DocumentSummary,TEXT,nvarchar(MAX),52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Color,TEXT,nvarchar(30),52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Size,TEXT,nvarchar(10),52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Class,TEXT,nchar(4),52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Style,TEXT,nchar(4),52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderDetail,LineTotal,NUMERIC,money,52.50,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderDetail,ReceivedQty,NUMERIC,"decimal(8,2)",52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderDetail,RejectedQty,NUMERIC,"decimal(8,2)",52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderDetail,StockedQty,NUMERIC,"decimal(9,2)",52.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,TotalDue,NUMERIC,money,52.50,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Weight,NUMERIC,"decimal(8,2)",52.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrderRouting,ActualResourceHrs,NUMERIC,"decimal(9,4)",52.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrderRouting,ActualCost,NUMERIC,money,52.75,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SpecialOffer,MaxQty,INTEGER,int,52.75,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductDocument,DocumentNode,HIERARCHICAL,hierarchyid,53.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,OnlineOrderFlag,OTHER,Flag,53.25,POOR,LOW_RISK,MEDIUM,STATUS_CONTROL,HIGH,,Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductInventory,Quantity,INTEGER,smallint,53.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,OrganizationLevel,INTEGER,smallint,53.75,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,Title,TEXT,nvarchar(100),53.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,FileExtension,TEXT,nvarchar(16),53.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductInventory,Shelf,TEXT,nvarchar(20),53.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistory,TransactionType,TEXT,nchar(2),53.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistoryArchive,TransactionType,TEXT,nchar(2),53.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,Title,TEXT,nvarchar(16),54.00,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,Suffix,TEXT,nvarchar(20),54.00,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,StandardCost,NUMERIC,money,54.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductCostHistory,StandardCost,NUMERIC,money,54.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistory,ActualCost,NUMERIC,money,54.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,TransactionHistoryArchive,ActualCost,NUMERIC,money,54.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,WorkOrderRouting,PlannedCost,NUMERIC,money,54.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,DocumentNode,HIERARCHICAL,hierarchyid,54.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ProductVendor,OnOrderQty,INTEGER,int,54.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CreditCard,CardType,TEXT,nvarchar(100),54.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,VacationHours,INTEGER,smallint,55.00,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,SickLeaveHours,INTEGER,smallint,55.00,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductReview,Comments,TEXT,nvarchar(7700),55.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,SubTotal,NUMERIC,money,55.00,POOR,MINIMAL_RISK,LOW,BUSINESS_METRIC,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,TaxAmt,NUMERIC,money,55.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,Freight,NUMERIC,money,55.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ShipMethod,ShipBase,NUMERIC,money,55.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,JobTitle,TEXT,nvarchar(100),55.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,PersonType,TEXT,nchar(4),55.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,Status,INTEGER,tinyint,55.50,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ProductVendor,MinOrderQty,INTEGER,int,55.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ProductVendor,MaxOrderQty,INTEGER,int,55.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderDetail,OrderQty,INTEGER,smallint,55.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderDetail,CarrierTrackingNumber,TEXT,nvarchar(50),55.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,Comment,TEXT,nvarchar(256),55.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,PurchaseOrderHeader,RevisionNumber,INTEGER,tinyint,55.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,DocumentLevel,INTEGER,smallint,56.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
